diocese ID,root no,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,a,1881,1880,1879,1878,1877,1876,1875,1874,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,TIME GAP (Civil War),1861,1860,1859,1858,1857,1856,1855,1854,1853,1852,1851,1850,1849,1848,1847,1846,1845,1844,1843,1842,1841,1840,1839,1838,1837,1836,1835,1834,1833
gre.wi,39,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gra.ca,40,Grass Valley,Sacramento,Sacramento,,Sacramento,Sacramento,Sacramento,Sacramento,Sacramento,Grass Valley,Grass Valley,Grass Valley,Grass Valley,Grass Valley,Grass Valley,Grass Valley,Grass Valley,Grass Valley,Grass Valley,Grass Valley,Grass Valley,Grass Valley,Grass Valley,Grass Valley,Grass Valley,Grass Valley,Grass Valley,VAMarysvilleCalifornia,VAMarysvilleCalifornia,VAMarysvilleCalifornia,VAMarysvilleCalifornia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
har.pa,41,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,Harrisburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
har.ct,42,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford (168),Hartford (114),Hartford (111),,Hartford (141),Hartford (159),Hartford (157),Hartford (50),Hartford (237),Hartford (229),Hartford (155),Hartford (184),Hartford (131),Hartford (172),Hartford (174),Hartford (103),Hartford (209),Hartford (222),Hartford (99),Hartford (87),Hartford (93),Hartford (90),,,,,,,,,,,
hel.mt,43,Helena,Helena,Helena,Helena,Helena,Helena,Helena,Helena,Helena,Helena,VAMontana,VAMontana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jam.nd,44,Jamestown,Jamestown,Jamestown,Jamestown,Jamestown,Jamestown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kc.mo,45,Kansas City Missouri,Kansas City Missouri,Kansas City Missouri,Kansas City Missouri,Kansas City Missouri,Kansas City Missouri,Kansas City Missouri,Kansas City Missouri,Kansas City Missouri,Kansas City Missouri,Kansas City Missouri,Kansas City Missouri,Kansas City Missouri,Kansas City,Kansas City Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kc.ks,46,Kansas City Kansas,Kansas City Kansas,Kansas City Kansas,Leavenworth,Leavenworth,Leavenworth,Leavenworth,Leavenworth,Leavenworth,Leavenworth,Leavenworth,Leavenworth,Leavenworth,Leavenworth,Leavenworth,Leavenworth,Leavenworth,Leavenworth,VAKansas,VAKansas,VAKansas,VAKansas,VAKansas,VAKansas,VAKansas,VAKansas,VAEastRockyMountains,VAEastRockyMountains,VAEastRockyMountains,VAEastRockyMountains,VAEastRockyMountains (191),VAEastRockyMountains (185),,VAEastRockyMountains,VAEastRockyMountains (209),Vicariate of Kansas (201),,,,,,,,,,,,,,,,,,,,,,,,,,
lac.wi,47,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,La Crosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lin.ne,48,Lincoln,Lincoln,Lincoln,Lincoln,Lincoln,Lincoln,Lincoln,Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lit.ar,49,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,ERROR: No data printed in almanac due to Civil War,ERROR: No data printed in almanac due to Civil War,Little Rock (196),,Little Rock (114),Little Rock (127),Little Rock (123),Little Rock (162),Little Rock (251),Little Rock (219),Little Rock (204),Little Rock (225),Little Rock (1980,Little Rock (165),Little Rock (185),Little Rock (153),Little Rock (234),Little Rock (218),Little Rock (171),Little Rock (144),Little Rock (154),Little Rock (164),,,,,,,,,,,
lou.ky,50,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville (161),Louisville (145),Louisville (139),,Louisville (99),Louisville (109),Louisville (104),Louisville (106),Louisville (78),Louisville (187),Louisville (113),Louisville (109),Louisville (87),Louisville (108),Louisville (72),Louisville (154),Louisville (196),Louisville (126),Louisville (125),Louisville (160),Louisville (130),Louisville (147),Louisville (130),Bardstown (138),Bardstown (173),Bardstown (133),Bardstown (150),Bardstown (116),Bardstown (139),Bardstown (80),Bardstown (60),Bardstown (57),Bardstown
man.nh,51,Manchester,Manchester,Manchester,Manchester,Manchester,Manchester,Manchester,Manchester,Manchester,Manchester,Manchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mar.mi,52,Marquette,Marquette,Marquette,Marquette,Marquette,Marquette,Marquette,Marquette,Marquette,Marquette,Marquette,Marquette,Marquette and Sault-Sainte-Marie,Marquette and Sault-Sainte-Marie,Marquette and Sault-Sainte-Marie,Marquette and Sault-Sainte-Marie,Marquette and Sault-Sainte-Marie,Marquette,Marquette ,Marquette ,Marquette ,Marquette ,Marquette ,Marquette ,Marquette ,Marquette and Saut-Sainte-Marie,Marquette ,Marquette and Saut-Sainte-Marie,Marquette,Saut Sainte Marie (131),Saut-Saint-Marie (151),Saut-Saint-Marie (146),,Saut. Ste. Marie (104),Saut Ste. Marie (114),Saut Sainte Marie (110),St. Mary's (122) ,Apostolic Vicariate of Upper Michigan (95),Apostolic Vicariate of Upper Michigan (87),Apostolic Vicariate of Upper Michigan (80),Apostolic Vicariate of Upper Michigan (136),,,,,,,,,,,,,,,,,,,,,
mob.al,53,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile ,ERROR: No data printed in almanac due to Civil War,ERROR: No data printed in almanac due to Civil War,,Mobile (116),Mobile (129),Mobile (125),Mobile (158),Mobile (92),Mobile (222),Mobile (236),Mobile (199),Mobile (207),Mobile (180),Mobile (181),Mobile (185),Mobile (227),Mobile (230),Mobile (151),Mobile (179),Mobile (143),Mobile (146),Mobile (106),Mobile (129),Mobile (165),Mobile (126),Mobile (168),Mobile (132),Mobile (160),Mobile (78),Mobile (47),Mobile (46),Mobile
mon.ca,54,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles,Monterey and Los Angeles (197),Monterey and Los Angeles (191),,Los Angelos and Monterey (186),Los Angelos & Monterey (215),Monterey (206),Monterey (169),Monterey (99),Monterey (243),Monterey (210),Monterey (201),Monterey (195),Monterey (255),Monterey (189),Upper California and New Mexico (192),,,,,,,,,,,,,,,,,
nash.tn,55,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,ERROR: No data printed in almanac due to Civil War,Nashville (181),Nashville (176),,Nashville (174),Nashville (1990),Nashville (192),Nashville (130),Nashville (186),Nashville (154),Nashville (163),Nashville (175),Nashville  (121),Nashville (151),Nashville (136),Nashville (133),Nashville (115),Nashville (220),Nashville (134),Nashville (146),Nashville (127),Nashville (143),Nashville (105),Nashville (147),Nashville (171),Nashville (133),Nashville (163),,,,,,
nat.la,56,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,Natchez,ERROR: No data printed in almanac due to Civil War,ERROR: No data printed in almanac due to Civil War,ERROR: No data printed in almanac due to Civil War,,Natchez (117),Natchez 131,Natchez (127),Natchez (160),Natchez (246),Natchez (253,Natchez (211),Natchez (142),Natchez (102),Natchez (163),Natchez (180),Natchez (135),Natchez (114),Natchez (125),Natchez (136),Natchez (152),Natchez (126),Natchez (115),Natchez (100),Natchez (128),Natchez (164),Natchez (125),Natchez (168),,,,,,
