instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿har.pa.0008,﻿church,﻿St. Mary's,English,,,,,﻿Lancaster County,﻿Lancaster,﻿Lancaster,﻿PA,﻿PA,40.0359609,-76.30695166,,,,﻿ber_keenan_001,﻿Rev.,﻿Bernard Keenan,,,,,,,,1833,﻿https://stmaryslancaster.org/history,,﻿,﻿,Philadelphia,Philadelphia
﻿har.pa.0005,﻿church,﻿St. Mary's,English,﻿3rd Sunday,,,,﻿Lebanon County,﻿Lebanon,﻿Lebanon,﻿PA,﻿PA,40.33962838,-76.42426687,,,,﻿mic_curran_901,﻿Rev.,﻿Michael Curran,,,﻿resides at Harrisburg,,,,,1833,﻿https://www.hbgdiocese.org/about/diocesan-history/,,﻿,﻿,Philadelphia,Philadelphia
﻿har.pa.0039,﻿church,﻿All Saints,English,﻿once a month,,,,﻿Mifflin County,﻿Lewistown,﻿Lewistown,﻿PA,﻿PA,40.60023008,-77.5731348,,,,﻿pat_leavy_901,﻿Rev.,﻿P. Leavy,,,,,,,,1833,﻿https://www.sacredheartlewistown.com/about-our-parish,,﻿,﻿,Philadelphia,Philadelphia
﻿har.pa.0025,﻿church,﻿St. Aloysius,English,﻿3rd Sunday,,,,﻿Adams County,﻿Littlestown,﻿Littlestown,﻿PA,﻿PA,39.74342361,-77.0880942,,,,﻿mic_dougherty_901,﻿Rev.,﻿Michael Dougherty,,,,,,,,1833,﻿https://www.staloysiuslittlestown.com/home.html,,﻿,﻿,Philadelphia,Philadelphia
﻿har.pa.0017,﻿church,﻿St. Patrick's,English,﻿twice a month,,,,﻿York County,﻿Little York,﻿York,﻿PA,﻿PA,39.95832062,-76.72761145,,,,﻿pat_j_dwen_901,﻿Rev.,﻿Patrick J. Dwen,,,,,,,,1833,﻿https://stpatrickyork.org/parish-history,,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.9002,﻿church,﻿St. Michael's,English,,,,,﻿Cambria County,﻿Loretio,﻿Loretto,﻿PA,﻿PA,40.50249152,-78.63033998,,,,﻿dem_a_galitzin_901,﻿Rev.,﻿Demetrius A. Galitzin,,,,,,﻿under the charge of the Christian Brothers,,1833,﻿https://www.basilicasm-loretto.org/our-history.html,,﻿,﻿,Philadelphia,Philadelphia
﻿phi.pa.0036,﻿church,﻿St. John Baptist,English,,,,,﻿Philadelphia County,﻿Manayunk,﻿Philadelphia,﻿PA,﻿PA,40.02488645,-75.22006133,,,,﻿cha_j_carter_901,﻿Rev.,﻿Charles J. Carter,,,,,,,,1833,﻿https://www.stjohnmanayunk.org/st-john-the-baptist-church,,﻿,﻿,Philadelphia,Philadelphia
﻿cle.oh.0100,﻿church,not recorded,English,﻿once a month,,,,,﻿Massillon,﻿Massillon,﻿PA,﻿OH,40.8023794,-81.5229197,,,,﻿bon_corvin_901,﻿Rev.,﻿Boniface Corvin,,,,,,,,1833,"﻿This city is in Ohio and, from what I can tell, has never been part of PA, where it appears in the 1833 alamanac. My read on this is that, due to it being in eastern Ohio, closer to Cleveland (which is not yet in this almanac), it was categorized under PA because it was one of their outerlying served areas. For this reason, I've given it a Cleveland ID, as the city appears in the later 1860/70s almanacs.",,﻿,﻿,Philadelphia,Philadelphia
﻿har.pa.0058,﻿church,﻿St. Joseph's,English,﻿3 Sundays in the month,,,,﻿Northumberland County,﻿Milton,﻿Milton,﻿PA,﻿PA,41.02061259,-76.85129446,,,,﻿joh_j_curtin_901,﻿Rev.,﻿John J. Curtin,,,,,,,,1833,﻿https://www.stjosephmilton.org/,,﻿,﻿,Philadelphia,Philadelphia
﻿har.pa.0030,﻿church,﻿St. Ignatius,English,﻿4th Sunday,,,,﻿Adams County,﻿Mountain Church,﻿Mountain,﻿PA,﻿PA,39.8522417,-77.2864879,,,,﻿mic_dougherty_901,﻿Rev.,﻿M. Dougherty,,,,,,,,1833,,,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0078,﻿church,﻿St Patrick's,English,﻿twice a month,,,,﻿Blair County,﻿Newry,﻿Newry,﻿PA,﻿PA,40.39262199,-78.43296699,,,,﻿j_oreilly_901,﻿Rev.,﻿J. O'Reilly,,,,,,,,1833,﻿https://www.stpatricknewry.org/about.html,,﻿,﻿,Philadelphia,Philadelphia
﻿har.pa.0021,﻿church,not recorded,English,﻿a private Chapel,,,,﻿York County,﻿Paradise,﻿Paradise,﻿PA,﻿PA,40.009823,-76.128565,,,,﻿joh_w_beschter_901,﻿Rev.,﻿John W. Beschter,,,,,,,,1833,,,﻿,﻿,Philadelphia,Philadelphia
﻿har.pa.0034,﻿church,not recorded,English,﻿once a month,,,,﻿Franklin County,﻿Path Valley,﻿Willow Hill,﻿PA,﻿PA,40.2135368,-77.70637758,,,,﻿fer_mccosker_901,﻿Rev.,﻿F. M'Cosker,,,,,,,,1833,﻿https://www.hbgdiocese.org/about/diocesan-history/,,﻿,﻿,Philadelphia,Philadelphia
