instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,temp,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stp.mn.0112,﻿station,not recorded,English,,"﻿Chisago, Isanti, Pine, and Kennebec",,﻿Chisago County,,﻿Princeton,,,,45.569965,-93.5816278,﻿stp.mn.0073,﻿Visited by Rev. Prosper Maurer,,,,,,,,,,,,1869,40.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0027,﻿station,not recorded,English,,"﻿Chisago, Isanti, Pine, and Kennebec",,﻿Chisago County,﻿Chisago County,﻿Taylor's Falls,,,,45.401906,-92.652429,﻿stp.mn.0203,﻿Visited by Rev. Thomas Murray,,,,,,,,,,,,1869,41.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0028,﻿station,not recorded,English,,"﻿Chisago, Isanti, Pine, and Kennebec",,﻿Chisago County,﻿Chisago County,﻿Sunrise,,,,45.546905,-92.854936,﻿stp.mn.0203,﻿Visited by Rev. Thomas Murray,,,,,,,,,,,,1869,42.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0030,﻿station,not recorded,English,,"﻿Chisago, Isanti, Pine, and Kennebec",,﻿Chisago County,﻿Chisago County,﻿Rusheba,,,,45.696164,-92.911209,﻿stp.mn.0203,﻿Visited by Rev. Thomas Murray,,,,,,,,,,,,1869,43.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0149,﻿church,﻿Church of St. Mark,﻿German,,,,﻿Scott County,﻿Scott County,﻿Shakopee,,,,44.795299,-93.529065,,﻿,,﻿geo_sherer_001,﻿Rev.,﻿George Sherer,﻿O.S.B.,,,,,,,1869,44.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0150,﻿church,﻿St. Mary,English,,,,﻿Scott County,﻿Scott County,﻿Shakopee,,,,44.794407,-93.52301,﻿stp.mn.0034,﻿Visited by Rev. A. Oster  of Burnsville,,,,,,,,,,,,1869,45.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0151,﻿church,﻿Church of St. Martin,English,,,,﻿Scott County,﻿Scott County,﻿Belle Plaine,,,,44.623041,-93.768404,,﻿,,﻿ale_berghold_001,﻿Rev.,﻿Alex. Berghold,,,,,,,,1869,46.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0153,﻿church,﻿Church of St. Wenceslaus,English,,,,﻿Scott County,﻿Scott County,﻿New Prague,,,,44.54403,-93.574235,,﻿,,﻿hon_povoling_001,﻿Rev.,﻿Honoratus Povoling,,,,,,,,1869,47.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0156,﻿church,﻿Church of Purification of B.V.M.,English,,,,﻿Scott County,﻿Scott County,﻿Marystown,,,,44.720796,-93.541343,﻿stp.mn.0149,﻿Visited by Rev. George Sherer,,,,,,,,,,,,1869,48.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0154,﻿church,﻿Church of Saint Patrick,English,,,,﻿Scott County,﻿Scott County,﻿Cedar Lake,,,,44.595251,-93.50183,,﻿,,﻿aug_wirth_001,﻿Rev.,﻿Augustin Wirth,,,,,,,,1869,49.0,﻿,﻿,﻿St. Paul,StPaul
