instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persRole,persSuffix,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿san.nm.0033,﻿chapel,﻿Chapel of San Augustin,English,,,﻿Antonchico,,,﻿Valles,﻿San Augustin,﻿NM,,35.457823,-105.145837,﻿san.nm.0030,﻿Attended from Antonchico,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0038,﻿church,﻿Parish Church of Na. Senora de Belen,English,,,﻿Antonchico,,,﻿Belen,﻿Belen,﻿NM,,34.662765,-106.776155,,,,﻿eug_paulet_001,﻿Rev.,﻿Eugenio Paulet,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0228,﻿church,﻿Parish Church of San Juan Nepomuceno,English,,,,,,﻿Sabinal,﻿Sabinal,﻿NM,,,,﻿san.nm.0038,﻿Attended from Belen,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0039,﻿chapel,not recorded,English,,,﻿Antonchico,,,﻿El Sauzal,,﻿NM,,34.680122,-106.754766,﻿san.nm.0038,﻿Attended from Belen,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0040,﻿chapel,not recorded,English,,,﻿Antonchico,,,﻿Los Chavez,﻿Los Chavez,﻿NM,,34.736851,-106.755482,﻿san.nm.0038,﻿Attended from Belen,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0041,﻿church,﻿Parish Church of Na. Sen. de los Dolores,English,﻿fine new church,,﻿Bernalillo,,,﻿Bernalillo,﻿Bernalillo,﻿NM,,35.30004,-106.551137,,,,﻿j_fialon_001,﻿Rev.,﻿Jose Fialon,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0042,﻿chapel,﻿Chapel of Santa Familia,English,,,﻿Bernalillo,,,﻿San Jose,﻿San Jose,﻿NM,,35.30004,-106.551137,﻿san.nm.0041,﻿Attended from Bernalillo,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0043,﻿chapel,﻿Chapel of San Antonio,English,,﻿Indian Pueblo,﻿Bernalillo,,,﻿Sandia,﻿Pueblo of Sandia Village,﻿NM,,,,﻿san.nm.0041,﻿Attended from Bernalillo,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0045,﻿chapel,not recorded,English,,,﻿Bernalillo,,,﻿Algodones,﻿Algodones,﻿NM,,35.380593,-106.479192,﻿san.nm.0041,﻿Attended from Bernalillo,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0046,﻿chapel,not recorded,English,,,﻿Bernalillo,,,﻿El Tejon,﻿Placitas,﻿NM,,35.306985,-106.424747,﻿san.nm.0041,﻿Attended from Bernalillo,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
